0,haze primary
1,agriculture clear primary water
2,clear primary
3,clear primary
4,agriculture clear habitation primary road
5,haze primary water
6,agriculture clear cultivation primary water
7,haze primary
8,agriculture clear cultivation primary
9,agriculture clear cultivation primary road
10,agriculture clear primary slash_burn water
11,clear primary water
12,cloudy
13,clear primary
14,cloudy
15,clear primary
16,clear primary
17,partly_cloudy primary
18,clear primary
19,agriculture clear primary road
20,agriculture clear primary water
21,clear primary road water
22,partly_cloudy primary
23,agriculture clear primary road
24,conventional_mine partly_cloudy primary
25,clear primary
26,cloudy
27,agriculture partly_cloudy primary water
28,clear primary
29,partly_cloudy primary
30,clear primary water
31,clear cultivation primary
32,agriculture clear primary road
33,agriculture cultivation partly_cloudy primary
34,clear primary
35,clear primary
36,agriculture clear primary road
37,partly_cloudy primary
38,clear primary
39,clear primary
40,agriculture clear cultivation primary
41,agriculture clear primary
42,clear primary
43,bare_ground haze
44,clear primary
45,clear primary
46,bare_ground clear habitation primary
47,clear primary water
48,clear primary water
49,clear primary
50,cloudy
51,clear primary
52,agriculture clear habitation primary road water
53,clear primary
54,clear primary
55,partly_cloudy primary road water
56,clear primary water
57,artisinal_mine bare_ground clear primary water
58,agriculture clear primary road
59,agriculture clear habitation primary road
60,haze primary
61,clear primary
62,clear primary water
63,agriculture clear primary road
64,agriculture clear primary
65,clear primary
66,agriculture clear primary road
67,clear habitation primary road
68,cloudy
69,clear primary
70,blooming clear primary
71,clear primary water
72,cloudy
73,clear primary
74,agriculture partly_cloudy primary road
75,agriculture clear primary road water
76,partly_cloudy primary
77,cloudy
78,clear primary
79,clear cultivation primary
80,agriculture partly_cloudy primary road
81,clear primary
82,blooming clear cultivation habitation primary slash_burn
83,clear primary
84,agriculture clear habitation primary road
85,clear primary water
86,clear primary
87,cloudy
88,partly_cloudy primary
89,clear primary
90,agriculture partly_cloudy primary road
91,partly_cloudy primary
92,agriculture clear habitation primary road
93,clear primary
94,agriculture clear habitation primary road
95,clear primary
96,clear primary
97,cloudy
98,clear primary
99,partly_cloudy primary
100,bare_ground clear water
101,cloudy
102,clear primary
103,agriculture clear habitation primary road water
104,haze primary
105,clear primary
106,clear primary
107,partly_cloudy primary
108,cloudy
109,clear primary
110,clear primary
111,cloudy
112,agriculture clear primary road
113,agriculture clear primary
114,clear primary water
115,clear primary water
116,agriculture clear primary road
117,clear primary
118,cloudy
119,agriculture clear primary road water
120,clear primary
121,partly_cloudy primary water
122,agriculture clear primary road
123,agriculture bare_ground clear habitation primary road
124,bare_ground clear primary
125,agriculture clear primary
126,agriculture clear primary road
127,clear primary
128,clear primary
129,agriculture clear primary
130,partly_cloudy primary
131,agriculture clear primary road water
132,haze primary
133,haze primary
134,clear primary
135,clear primary water
136,haze primary
137,clear primary
138,cloudy
139,clear primary
140,clear primary
141,partly_cloudy primary water
142,agriculture clear habitation primary road
143,partly_cloudy primary water
144,agriculture partly_cloudy primary selective_logging
145,partly_cloudy primary
146,clear cultivation primary
147,clear primary
148,agriculture clear cultivation primary water
149,clear primary
150,agriculture partly_cloudy primary
151,agriculture clear cultivation primary selective_logging
152,haze primary
153,clear primary
154,clear primary
155,clear primary
156,clear primary water
157,agriculture partly_cloudy primary
158,agriculture clear primary water
159,agriculture clear primary road
160,partly_cloudy primary
161,partly_cloudy primary
162,agriculture partly_cloudy primary
163,clear primary
164,clear primary
165,clear primary water
166,clear primary road selective_logging water
167,agriculture habitation partly_cloudy primary road
168,cloudy
169,agriculture clear primary road
170,clear primary water
171,agriculture clear primary road
172,agriculture clear primary road
173,clear cultivation primary
174,cloudy
175,clear primary
176,clear primary
177,agriculture clear primary road water
178,clear primary
179,cloudy
180,haze primary
181,clear primary
182,partly_cloudy primary
183,clear primary
184,partly_cloudy primary
185,agriculture artisinal_mine clear cultivation habitation primary road water
186,clear primary road water
187,artisinal_mine clear primary road
188,clear primary water
189,clear primary road water
190,clear primary
191,partly_cloudy primary
192,blow_down clear primary
193,partly_cloudy primary
194,partly_cloudy primary
195,agriculture clear primary road
196,haze primary
197,agriculture clear primary road
198,clear primary
199,agriculture clear cultivation primary
200,clear primary
201,clear primary
202,clear habitation road
203,cloudy
204,clear primary
205,agriculture clear cultivation primary
206,partly_cloudy primary
207,bare_ground clear primary road
208,clear primary
209,agriculture clear primary road
210,partly_cloudy primary
211,clear habitation primary road
212,partly_cloudy primary
213,agriculture clear primary road water
214,clear primary
215,haze primary water
216,agriculture clear primary road
217,bare_ground clear primary
218,agriculture clear cultivation habitation primary road
219,clear primary
220,partly_cloudy primary
221,clear primary
222,agriculture clear cultivation habitation primary road water
223,clear primary
224,agriculture clear primary
225,agriculture clear cultivation habitation primary road
226,cloudy
227,agriculture clear cultivation primary
228,agriculture haze primary road water
229,agriculture clear cultivation primary
230,agriculture bare_ground habitation partly_cloudy primary road
231,partly_cloudy primary
232,clear primary
233,clear primary water
234,cloudy
235,clear primary
236,clear primary
237,artisinal_mine clear primary road water
238,clear primary
239,bare_ground clear primary water
240,agriculture clear primary road
241,agriculture haze primary road
242,clear primary
243,clear primary
244,clear primary
245,clear primary blooming
246,clear primary
247,agriculture clear cultivation habitation primary road selective_logging
248,haze primary
249,partly_cloudy primary
250,clear primary
251,clear primary
252,clear habitation primary
253,agriculture clear habitation primary road
254,clear primary
255,agriculture clear habitation primary road
256,agriculture clear cultivation primary
257,cloudy
258,clear habitation primary road
259,partly_cloudy primary
260,clear primary road water
261,agriculture clear primary
262,clear cultivation primary
263,agriculture clear primary
264,clear primary
265,partly_cloudy primary
266,clear cultivation habitation primary
267,partly_cloudy primary
268,agriculture clear habitation primary road
269,clear primary
270,agriculture clear primary road
271,clear primary
272,agriculture clear primary road
273,clear water
274,artisinal_mine clear primary road water
275,clear primary
276,partly_cloudy primary
277,clear primary
278,clear primary
279,clear cultivation primary
280,partly_cloudy primary
281,clear primary selective_logging
282,partly_cloudy primary
283,partly_cloudy primary water
284,cloudy
285,cloudy
286,agriculture artisinal_mine clear primary water
287,partly_cloudy primary
288,clear primary water
289,clear primary
290,clear water
291,agriculture clear primary road
292,agriculture partly_cloudy primary
293,clear primary water
294,clear primary road
295,clear primary water
296,clear primary
297,agriculture clear cultivation primary
298,agriculture bare_ground clear cultivation habitation primary
299,clear primary
300,clear primary
301,agriculture clear primary road water
302,cloudy
303,agriculture clear primary
304,agriculture clear primary
305,partly_cloudy primary
306,partly_cloudy primary
307,clear primary
308,agriculture cultivation partly_cloudy primary road water
309,agriculture clear primary water
310,clear primary
311,agriculture clear habitation primary road
312,partly_cloudy primary
313,clear primary water
314,agriculture clear primary road
315,agriculture haze primary road
316,agriculture clear primary
317,clear primary
318,clear primary
319,bare_ground clear road
320,partly_cloudy primary
321,clear primary water
322,clear primary road water
323,partly_cloudy primary
324,agriculture clear primary water
325,haze primary
326,agriculture clear primary
327,clear primary
328,agriculture partly_cloudy primary road
329,clear primary road water
330,agriculture clear primary water
331,partly_cloudy primary
332,haze primary
333,agriculture clear primary road
334,partly_cloudy primary road water
335,clear primary
336,clear primary
337,cloudy
338,agriculture clear primary
339,clear primary
340,partly_cloudy road water
341,haze primary
342,agriculture partly_cloudy primary road
343,cloudy
344,clear primary
345,agriculture clear primary
346,clear primary
347,partly_cloudy primary road water
348,clear primary
349,agriculture clear primary
